anime_id,name,genre,type,episodes,text
79,Shuffle!,"Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School, Seinen",TV,24,"Shuffle! [TYPE] TV [GENRE] Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School, Seinen [EP] 24"
154,Shaman King,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,64,"Shaman King [TYPE] TV [GENRE] Action, Adventure, Comedy, Drama, Shounen, Supernatural [EP] 64"
21431,Gokukoku no Brynhildr,"Drama, Mystery, Sci-Fi, Seinen",TV,13,"Gokukoku no Brynhildr [TYPE] TV [GENRE] Drama, Mystery, Sci-Fi, Seinen [EP] 13"
11266,Ao no Exorcist: Kuro no Iede,"Action, Demons, Fantasy, Shounen, Supernatural",Special,1,"Ao no Exorcist: Kuro no Iede [TYPE] Special [GENRE] Action, Demons, Fantasy, Shounen, Supernatural [EP] 1"
10165,Nichijou,"Comedy, School, Slice of Life",TV,26,"Nichijou [TYPE] TV [GENRE] Comedy, School, Slice of Life [EP] 26"
5112,Akikan!,"Comedy, Ecchi, Fantasy, Romance",TV,12,"Akikan! [TYPE] TV [GENRE] Comedy, Ecchi, Fantasy, Romance [EP] 12"
9379,Denpa Onna to Seishun Otoko,"Comedy, Sci-Fi, Seinen, Slice of Life",TV,12,"Denpa Onna to Seishun Otoko [TYPE] TV [GENRE] Comedy, Sci-Fi, Seinen, Slice of Life [EP] 12"
20457,"Inari, Konkon, Koi Iroha.","Comedy, Romance, School, Seinen, Supernatural",TV,10,"Inari, Konkon, Koi Iroha. [TYPE] TV [GENRE] Comedy, Romance, School, Seinen, Supernatural [EP] 10"
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,"Rurouni Kenshin: Meiji Kenkaku Romantan [TYPE] TV [GENRE] Action, Adventure, Comedy, Historical, Romance, Samurai [EP] 94"
10793,Guilty Crown,"Action, Drama, Sci-Fi, Super Power",TV,22,"Guilty Crown [TYPE] TV [GENRE] Action, Drama, Sci-Fi, Super Power [EP] 22"
